study_id,label,authors,title,journal,year,volume,issue,pages,doi,pmid,record_type,matched_by
S25,Green 2016,Green E; Hunt L; Ross JCG; Nissen NM; Curran T; Badhan A; Sutherland KA; Richards J; Lee JS; Allen SH; Laird S; Blackman M; Collacott I; Parker PA; Walbridge A; Phillips R; Sellu SJ; Dama A; Sheriff AK; Zombo J; Ngegba D; Wurie AH; Checchi F; Brooks TJ,Viraemia and Ebola virus secretion in survivors of Ebola virus disease in Sierra Leone: a cross-sectional cohort study,Lancet Infect Dis,2016,16,9,1052-1056,10.1016/S1473-3099(16)30060-3,27197552,Journal article,first-author+year
S26,Hereth-Hébert 2017,Hereth-Hebert E; Bah MO; Etard JF; Sow MS; Resnikoff S; Fardeau C; Toure A; Ouendeno AN; Sagno IC; March L; Izard S; Lama PL; Barry M; Delaporte E; Postebogui Study Group,Ocular Complications in Survivors of the Ebola Outbreak in Guinea,Am J Ophthalmol,2017,175,,114-121,10.1016/j.ajo.2016.12.005,27998698,Journal article,manual(evidence)
S27,Howlett 2018,Howlett PJ; Walder AR; Lisk DR; Fitzgerald F; Sevalie S; Lado M; N'Jai A; Brown CS; Sahr F; Sesay F; Read JM; Steptoe PJ; Beare NAV; Dwivedi R; Solbrig M; Deen GF; Solomon T; Semple MG; Scott JT,"Case Series of Severe Neurologic Sequelae of Ebola Virus Disease during Epidemic, Sierra Leone",Emerg Infect Dis,2018,24,8,1412-1421,10.3201/eid2408.171367,30014839,Journal article,first-author+year
S28,Jagadesh 2018,Jagadesh S; Sevalie S; Fatoma R; Sesay F; Sahr F; Faragher B; Semple MG; Fletcher TE; Weigel R; Scott JT,Disability Among Ebola Survivors and Their Close Contacts in Sierra Leone: A Retrospective Case-Controlled Cohort Study,Clin Infect Dis,2018,66,1,131-133,10.1093/cid/cix705,29020205,Journal article,first-author+year
S29,Kangbai 2019,Kangbai JB; Heumann C; Hoelscher M; Sahr F; Froeschl G,"Epidemiological characteristics, clinical manifestations, and treatment outcome of 139 paediatric Ebola patients treated at a Sierra Leone Ebola treatment center",BMC Infect Dis,2019,19,1,81,10.1186/s12879-019-3727-7,30678649,Journal article,first-author+year
S30,Kulkarni 2026,Kulkarni R; Quartey-Papafio N; Larbelee J; Amegashie F; Dolo R; Gaisie C; Gargu C; Wallace A; Agrawal A; Fallah MP; Moses JS; Harper K; Van Ryn C; Reilly C; Kelly JD; Bishop RJ; Eghrari AO; Prakalapakorn SG; Group PrevailIiiEyeStudy,Pediatric Ebola Eye Disease in the PREVAIL (Partnership for Research on Ebola Virus in Liberia) III Longitudinal Cohort Study,Ophthalmol Sci,2026,6,7,101231,10.1016/j.xops.2026.101231,42317778,Journal article,filename
S31,Mattia 2016,Mattia J; Vandy M; Platt D; Dierberg K; Pinto R; Mansaray Y; Kamara A; Crozier I; Shantha J; Yeh S; Chang J,Factors associated with vision impairment in Ebola virus disease uveitis in Sierra Leone,,,,,,,,Conference abstract,manual(evidence)
S32,Mudalegundi 2023,Mudalegundi S; Ross RD; Larbelee J; Amegashie F; Dolo RF; Prakalapakorn GS; Ray V; Gargu C; Sosu Y; Sackor J; Cooper PZ; Wallace A; Nyain R; Burkholder B; Van Ryn C; Davis B; Fallah MP; Reilly C; Bishop RJ; Eghrari AO,Long-Term Decrease in Intraocular Pressure in Survivors of Ebola Virus Disease in the Partnership for Research on Vaccines and Infectious Diseases in Liberia (PREVAIL) III Study,Ophthalmol Sci,2023,3,2,100238,10.1016/j.xops.2022.100238,36582215,Journal article,first-author+year
S33,Shantha 2017,Shantha JG; Crozier I; Hayek BR; Bruce BB; Gargu C; Brown J; Fankhauser J; Yeh S,"Ophthalmic Manifestations and Causes of Vision Impairment in Ebola Virus Disease Survivors in Monrovia, Liberia",Ophthalmology,2017,124,2,170-177,10.1016/j.ophtha.2016.10.011,27914832,Journal article,filename
S34,Shantha 2019,Shantha JG; Hayek BR; Crozier I; Gargu C; Dolo R; Brown J; Fankhauser J; Yeh S,"Development of a screening eye clinic for Ebola virus disease survivors: Lessons learned and rapid implementation at ELWA Hospital in Monrovia, Liberia 2015",PLoS Negl Trop Dis,2019,13,3,e0007209,10.1371/journal.pntd.0007209,30845141,Journal article,manual(evidence)
S35,Steptoe 2018,Steptoe PJ; Momorie F; Fornah AD; Komba SP; Emsley E; Scott JT; Harding SP; Vandy MJ; Sahr F; Beare NAV; Semple MG,Multimodal Imaging and Spatial Analysis of Ebola Retinal Lesions in 14 Survivors of Ebola Virus Disease,JAMA Ophthalmol,2018,136,6,689-693,10.1001/jamaophthalmol.2018.1248,29800941,Journal article,manual(evidence)
S36,Steptoe 2017,Steptoe PJ; Scott JT; Baxter JM; Parkes CK; Dwivedi R; Czanner G; Vandy MJ; Momorie F; Fornah AD; Komba P; Richards J; Sahr F; Beare NAV; Semple MG,"Novel Retinal Lesion in Ebola Survivors, Sierra Leone, 2016",Emerg Infect Dis,2017,23,7,1102-1109,10.3201/eid2307.161608,28628441,Journal article,manual(evidence)
S37,Tozay 2020,Tozay S; Fischer WA; Wohl DA; Kilpatrick K; Zou F; Reeves E; Pewu K; DeMarco J; Loftis AJ; King K; Grant D; Schieffelin J; Gorvego G; Johnson H; Conneh T; Williams G; Nelson JAE; Hoover D; McMillian D; Merenbloom C; Hawks D; Dube K; Brown J,Long-term Complications of Ebola Virus Disease: Prevalence and Predictors of Major Symptoms and the Role of Inflammation,Clin Infect Dis,2020,71,7,1749-1755,10.1093/cid/ciz1062,31693114,Journal article,first-author+year
S38,Van Nguyen 2023,Van Nguyen N; Randleman C; Fashina T; Huang C; Mwanza JC; Shantha J; Yeh S,"Neuro-ophthalmology Implications in a Cohort of Ebola Virus Disease Survivors from the West African Ebola Outbreak, Sierra Leone",,,,,,,,Conference abstract,first-author+year
S39,Vandy 2018,Vandy MJ; Chang J; Mattia JG; Molleh B; Charles DB; Dierberg K; Shantha J; Yeh S; Sesay T; George P; Chan AK; Hann K; Mishra S,"Burden, timing, and outcomes of uveitis from a retrospective cohort of Ebola survivors in Sierra Leone",,,,,,,,Conference abstract,manual(evidence)
S40,Vandy 2016,Vandy M; Mattia J; Chang J; Platt D; Mansaray Y; Kamara A; Pinto R; Bausch D; Shantha J; Yeh S; Dierberg K,"Patterns of ocular manifestations in ebola virus disease survivors in the Port Loko, Sierra Leone",,,,,,,,Conference abstract,manual(evidence)
